kereta,stasiun_awal,kota_kab_awal,stasiun_akhir,kota_kab_akhir
Kereta api Tegal Arum,Stasiun Jakarta Kota,Jakarta Barat,Stasiun Tegal,Tegal
KRD Tanjung Priok-Cikampek,Stasiun Tanjung Priok,Jakarta Utara,Stasiun Cikampek,Kabupaten Karawang
KRD Tanjung Priok-Cikampek,Stasiun Tanjung Priok,Jakarta Utara,Stasiun Purwakarta,Purwakarta
Kereta api Rangkas Jaya,Stasiun Tanahabang,Jakarta Pusat,Stasiun Rangkasbitung,Kabupaten Lebak
Kereta api Langsam,Stasiun Tanahabang,Jakarta Pusat,Stasiun Rangkasbitung,Kabupaten Lebak
Kereta api Kalimaya,Stasiun Tanahabang,Jakarta Pusat,Stasiun Merak,Cilegon
Kereta api Argo Muria,Stasiun Semarang Tawang,Semarang,Stasiun Gambir,Jakarta Pusat
Kereta api Argo Lawu,Stasiun Solo Balapan,Surakarta,Stasiun Gambir,Jakarta Pusat
Kereta api Argo Dwipangga,Stasiun Solo Balapan,Surakarta,Stasiun Gambir,Jakarta Pusat
Kereta api Bangunkarta,Stasiun Jombang,Jombang,Stasiun Gambir,Jakarta Pusat
Kereta api Bima,Stasiun Surabaya Gubeng,Surabaya,Stasiun Gambir,Jakarta Pusat
Kereta api Gajayana,Stasiun Malang,Malang,Stasiun Gambir,Jakarta Pusat
Kereta api Purwojaya,Stasiun Cilacap,Kabupaten Cilacap,Stasiun Gambir,Jakarta Pusat
Kereta api Sembrani,Stasiun Surabaya Pasar Turi,Surabaya,Stasiun Gambir,Jakarta Pusat
Kereta api Taksaka,Stasiun Yogyakarta,Yogyakarta,Stasiun Gambir,Jakarta Pusat
Kereta api Argo Jati,Stasiun Cirebon,Cirebon,Stasiun Gambir,Jakarta Pusat
Kereta api Argo Sindoro,Stasiun Semarang Tawang,Semarang,Stasiun Gambir,Jakarta Pusat
Kereta api Argo Parahyangan,Stasiun Bandung,Bandung,Stasiun Gambir,Jakarta Pusat
Kereta api Argo Bromo Anggrek,Stasiun Surabaya Pasar Turi,Surabaya,Stasiun Gambir,Jakarta Pusat
Kereta api New Argo Jati,Stasiun Cirebon,Cirebon,Stasiun Gambir,Jakarta Pusat
Kereta api Cirebon Ekspress,Stasiun Cirebon,Cirebon,Stasiun Gambir,Jakarta Pusat
Kereta api Cirebon Ekspress,Stasiun Tegal,Tegal,Stasiun Gambir,Jakarta Pusat
Kereta api Kamandanu,Stasiun Semarang Tawang,Semarang,Stasiun Jakarta Kota,Jakarta Barat
Kereta api Serayu,Stasiun Kroya,Kabupaten Cilacap,Stasiun Jakarta Kota,Jakarta Barat
Kereta api Gaya Baru Malam Selatan,Stasiun Surabaya Gubeng,Surabaya,Stasiun Jakarta Kota,Jakarta Barat
Kereta api Patas Purwakarta,Stasiun Karawang,Kabupaten Karawang,Stasiun Jakarta Kota,Jakarta Barat
Kereta api Patas Purwakarta,Stasiun Cikampek,Kabupaten Karawang,Stasiun Jakarta Kota,Jakarta Barat
Kereta api Patas Purwakarta,Stasiun Purwakarta,Purwakarta,Stasiun Jakarta Kota,Jakarta Barat
Kereta api Gumarang,Stasiun Surabaya Pasar Turi,Surabaya,Stasiun Pasar Senen,Jakarta Pusat
Kereta api Matarmaja,Stasiun Malang,Malang,Stasiun Pasar Senen,Jakarta Pusat
Kereta api Progo,Stasiun Lempuyangan,Yogyakarta,Stasiun Pasar Senen,Jakarta Pusat
Kereta api Senja Utama Solo,Stasiun Solo Balapan,Surakarta,Stasiun Pasar Senen,Jakarta Pusat
Kereta api Sawunggalih Utama,Stasiun Kutoarjo,Kabupaten Purworejo,Stasiun Pasar Senen,Jakarta Pusat
Kereta api Kutojaya Utara,Stasiun Kutoarjo,Kabupaten Purworejo,Stasiun Pasar Senen,Jakarta Pusat
Kereta api Senja Malang,Stasiun Malang,Malang,Stasiun Pasar Senen,Jakarta Pusat
Kereta api Singosari,Stasiun Malang,Malang,Stasiun Pasar Senen,Jakarta Pusat
Kereta api Majapahit,Stasiun Malang,Malang,Stasiun Pasar Senen,Jakarta Pusat
Kereta api Fajar Utama Semarang,Stasiun Semarang Tawang,Semarang,Stasiun Pasar Senen,Jakarta Pusat
Kereta api Kertajaya,Stasiun Surabaya Pasar Turi,Surabaya,Stasiun Tanjung Priok,Jakarta Utara
Kereta api Brantas,Stasiun Kediri,Kediri,Stasiun Tanjung Priok,Jakarta Utara
Kereta api Senja Bengawan,Stasiun Solo Jebres,Surakarta,Stasiun Tanjung Priok,Jakarta Utara
